"file","id","brand","category","name","spec","imageStatus","detail"
"guoshao-products.json","H20020","唐鑫","酒精／消毒用品","唐鑫75%酒精","500ml","低解析度/小檔","image-data/H20020.txt (5712 bytes)"
"guoshao-products.json","H20030","唐鑫","酒精／消毒用品","唐鑫75%酒精（附噴頭）","500ml","低解析度/小檔","image-data/H20030.txt (4744 bytes)"
"guoshao-products.json","H22010","唐鑫","濕巾","水滴貝貝超厚純水柔濕巾","80抽","低解析度/小檔","image-data/H22010.txt (7020 bytes)"
"guoshao-products.json","H22030","唐鑫","清潔濕巾","克司博廚房去污抗菌濕巾","60抽","低解析度/小檔","image-data/H22030.txt (7142 bytes)"
"guoshao-products.json","H22040","唐鑫","濕巾","克司博純水濕巾（含蓋）","90抽","低解析度/小檔","image-data/H22040.txt (7852 bytes)"
"juwei-products.json","E80650","居美媞","洗臉巾","居美媞星空紋舒敏洗臉巾","70張","已有圖","image-data/E80650.txt (15334 bytes)"
"juwei-products.json","E80660","居美媞","洗臉巾","居美媞針織紋淨膚洗臉巾","70張","已有圖","image-data/E80660.txt (11901 bytes)"
"juwei-products.json","E80670","居美媞","洗臉巾","居美媞鑽石紋棉柔加大洗臉巾","50張（26×20cm）","已有圖","image-data/E80670.txt (9424 bytes)"
"juwei-products.json","E80740","居美媞","化妝棉","居美媞夾棉化妝棉－旅行隨身包","8片×10入","已有圖","image-data/E80740.txt (16264 bytes)"
"juwei-products.json","E80760","居美媞","化妝棉","居美媞菱格氣墊化妝棉","120片","低解析度/小檔","image-data/E80760.txt (1312 bytes)"
"juwei-products.json","E80770","居美媞","化妝棉","居美媞薄透濕膚化妝棉","200片","低解析度/小檔","image-data/E80770.txt (1000 bytes)"
"juwei-products.json","E80790","居美媞","潔顏巾","居美媞胺基酸泡泡潔顏巾","10張","低解析度/小檔","image-data/E80790.txt (2312 bytes)"
"juwei-products.json","E80855","妙妙熊","毛巾／浴巾","妙妙熊寶寶毛浴巾兩入旅行組","2入","低解析度/小檔","image-data/E80855.txt (1160 bytes)"
"juwei-products.json","E80870","居居加","毛巾／浴巾","居居加竹纖極快乾毛浴巾旅行組","4入","低解析度/小檔","image-data/E80870.txt (2080 bytes)"
"juwei-products.json","E80880","居居加","毛巾／浴巾","居居加厚磅超吸水旅行浴巾","1入（60×120cm）","低解析度/小檔","image-data/E80880.txt (7041 bytes)"
"juwei-products.json","E80950","居居加","清潔布／擦拭布","居居加小蘇打油切洗碗布","5張","低解析度/小檔","image-data/E80950.txt (1863 bytes)"
